text,label,topic
"Le cbd est nulle .. pourquoi en consommer ? El plus c’est des extrait donc concentration des pesticides , des métaux lourd et autre polluant 🤮",1,nothing
"Excellent, comme toujours... Il va falloir le suivre de près avant qu'il ne se fasse happé par le lobbying local, (les élus avides et corrompus par ces agriculteurs toujours en manque de terre, et qui ont toujours le dernier mot face aux projets de ces petites structures) .. les sujets délicats abordés ici comme les contraintes de la normalisation ou les artefacts du commerce mondial, méritent d'être listés et discutés dans un cadre plus strict que celui de ce brave jeune, représentant de la force vive .. qui j'espère aura une descendance digne de son courage. Grand bien lui fasse .. Un formidable reportage ou l'information passe même en dehors des mots prononcés..",0,nothing
Super ! Du coup il ne faut pas mettre de couvercle alors ?,0,nothing
Le kuhn sd doit être plus fait pour du semis simplifié que du direct Pas comme jd 750 sky weaving,0,nothing
Galere d'avoir des poivrons en juillet août au nord 😊...,0,nothing
Merci pour cette video hyper intéressante ! J'apprends énormément grace a toi et je comprends plein de choses ! On en veut encore !,0,nothing
pourriez vous nous dire comment semer les carottes sans que les fourmis attaquent et n'en laissent plus une ? c'est desesperant ! merci de votre reponse et pour tout le temps que vous nous consacrez,0,P2
dommage tu l'exploite que a 15% tu n'est pas obliger de toucherlinverseur à droite tu peu tout ferre avec le sticks ses encore plus rapide,0,nothing
Je vis en Ardèche et un maraîcher bio à qui j'achète régulièrement cultive des Feijoa. Il les vend généralement sur 1 mois. Il les récolte encore durs et ils mûrissent le temps qu'il les vende tous ou chez les gens qui les achète. Donc c'est tout à fait possible d'en produire et en commercialiser de manière professionnelle... Et les clients sont ravis 😉,0,PRecolte
Pourquoi ne pas envisager un semis avec un mélange de semence à 50/50 style un rang sur 2 ?,0,nothing
"Bonjour, je peux confirmer ton verdict, chez moi 6000h route et champs et seulement 40% d'usure, très bonne régularité d'usure , mais c'est vrai flancs dur et pas le plus confortable,mais abordable sur le plan tarifaire, ce sont les pneus idéal en 2e montes. Après ces pneus sont fabriqué en Inde avec peu de considération social ...",0,nothing
"Merci pour cette clarté et vos engagements pour nous, On là on vous soutiens 💪 Merci Brian pour ta chaîne source d'inspiration et de connaissances et le tout dans le bon sens 😊",0,nothing
"La vitesse et un sacré avantage en Allemagne, le permis poids lourd qui commence à 7 ou 7,5 tonnes. C'est une chose uniformisé à Bruxelles mais non il préfère passer des lois absurde..",0,nothing
"L'autonomie c'est avant tout des compétences, c'est pour ca que c'est long a acquérir...",0,nothing
"5:30 ""Petit outil "" 😂 En effet, il faut pas y aller de main morte quand on va dans la bonne direction",0,nothing
"Malheureusement, encore une fois avec MSV, le son est très mauvais... Et la carte que vous montrez au début est illisible...😕. C'est une malédiction ?",1,nothing
"Bonjour Olivier, je vous suis assidûment, et vous m’avez beaucoup aidé pour la création de mon potager l’année dernière. J’ai une question très précise sur la culture en bac potager. Ou puis-je vous la poser sans polluer vos posts? Merci beaucoup 😊",0,nothing
Intéressant ça,0,nothing
Il y a un but aussi a amener c'est part d'humus par des apports organique 1% d'humus en plus amène bien des avantages. Un terre végétale n'amènera pas tous cela. Cette texture ou structure du sol a bien des possibilités sur chaque terre pousse des végétaux bien différent. Le souci ou le paradigme du potager c'est de cultiver des plantes bien différente avec des besoins totalement différents.,0,P6
Bonjour Olivier Tes plaques en alvéoles carrées ont l'air bien pratiques et assez profondes. Peux-tu nous renseigner où tu les achètes? Elles ne ressemblent pas aux plaques Magellan que j'ai déjà. Merciii,0,nothing
Tranquillou ca sent le bon repas avant)) avec une petite infusion verveine),0,nothing
c'est pour les manger ou pour les oeufs ?,0,nothing
"J'ai habité 10 ans en Provence . Qu'est-ce que je regrette les kakis, quand ils sont ""en confiture"" !",0,nothing
Pas d'orge dans l'assolement? Les filières brasserie rémunère bien pourtant...,0,P6
Tu I Mai un taureau ou une insémination,0,nothing
"Intéressant, a voir si ça tient dans la Creuse a 700m ( pas sûre mais bon )",0,nothing
"tu ne parles pas de la chaleur dégagée par le processus, est-il envisagé de la récupérer, par exemple via un réseau de chaleur pour le center park ou du chauffage collectif ?",0,nothing
bonjour Antoine ton tracteur es trop chou merci d'avoir choisi fendt j'aime bien ce genre de tracteur,0,nothing
Bravo Brian d'avoir réuni Nono et Ecomaison c'était passionnant et merci d'avoir fait remarqué que ce n'était pas forcément plus onéreux d'utiliser des matériaux éco ! je transmets bien sûr cette vidéo à mon fils qui j'espère pourra réaliser son futur projet... Longue vie à vous tous,0,nothing
"Réfléchir avant d’agir, Stephane nous donne une leçon de sagesse ……. Merci pour cette visite qui sort des sentiers battus !",0,nothing
"Merci, excellent",0,nothing
Merci à toi pour cette vidéo c'est un plaisir de te suivre je vois que bientot tu auras les 30 K c top Passe un bon dimanche bon courage pour le boulot,0,nothing
"Bravo, merci d'avoir partagé ce moment exceptionnel avec nous. Tu m'y as appris l'existence du ""plan protéines végétales"", je suis donc allé me renseigner : il va vraiment dans la bonne direction ; un plan comme celui-là a du sens pour moi : je ne mange plus ni viande ni produits laitiers depuis plus d'un an, j'ai redécouvert avec bonheur la diversité des légumes secs de nos terroirs, leurs valeurs nutritive et écologique, la variété de ce qu'on peut faire avec du soja (français !). Et j'aime regarder tes vidéos et apprendre sur ton métier ! Merci à toi !",0,nothing
Bon courage à vous les agriculteurs de France. Vos métiers me passionnent un vrai savoir savoir-faire qui ne doit pas être perdus !,0,nothing
"Merci pour toutes ces vidéos si inspirantes et surtout toujours avec bienveillance et tolérance, j’adore ! Cette année j’ai eu bcp de difficultés pour maîtriser le liseron dans mon potager.. je débute et je manque de temps… si tu quelqu’un a une astuce, je suis preneuse ! Bravo pour tout ton travail et merci encore!",0,P7
"hello, Comment décompacter si le sol est gorgé d'eau?",0,nothing
Vive le sud! Coucou de la bourgogne du sud! On va patienter encore un peu!,0,nothing
Bonjour Olivier,0,nothing
"Je n ai pas vu sur ta vidéo mais j ai lnimpression que tu as mis la base de ton carré metal a fleur du sol, de ce fait tu risques d avoir encore un contact entre la terre et ton poteau. Il faudrait laisser environ 5cm pour avoir aucun risque. Beau boulot.",0,nothing
Vouloir recréer une forêt primaire à partir de plantes de pépinière.... ça part mal...,1,nothing
Merci 🙂,0,nothing
J'ai envie de voir le résultat,0,nothing
"Bonsoir Olivier, merci pour ce bel épisode. A bientôt.",0,nothing
"Bonjour, que pensez-vous des panneaux solaires à 1€ ? En regardant la vidéo j’ai justement eu une pub pour ça.",0,nothing
"Ah le changement c’est maintenant, avant la nouvelle année, ça te va très bien 👍 👏. Je vais essayer de faire une bouture de combava avec ta méthode, mais après je dois ranger les pots où ? Merci Maud pour ton aide et à très bien tôt. 👍🙏😘👋",0,nothing
"Bonjour, quel diamètre de clip utilisez vous ? Sur le marché il y a du 1,5, du 2 et du 2,5. Merci 😊",0,nothing
Ça vaut largement un bon pouce! Merci!,0,nothing
Des pneu c’est 50mm de crampons…,0,nothing
c'est beau la technologie,0,nothing
"Bonjour, je lance ma micro Ferme en début d'année 2023, j'aurais aimé savoir si dans ta formation en ligne il y a un tableau d'étalonnage des semis. Merci Anto.",0,nothing
"Quelle misère d'écraser sans cesse terre, herbe et bestioles avec des tracteurs de 5 tonnes... Je ne parle même pas du bruit, de la fumée et du crédit qu'il faut rembourser !",1,P6
tu pourra faire une video au drone pour voir comment est ton exploite ? enplacement des batiments ce quil y a dessous etc..,0,nothing
Super vidéo,0,nothing
❄️🕊❄️merci 👏❄️🕊❄️,0,nothing
"super, quelle intuition et intelligence du terrain!",0,nothing
"Merci pour cette vidéo, je cherche à savoir sur quel arbre autre que le kaki peut t'ont greffer le plaquemininier",0,nothing
Et enfin un chevreuil comme un sanglier ou un cerf courre pour echapper a ses prédateurs loup lynx ou chiens de chasse c est pareil Il est donc naturel pour lui de fuir et les chiens sont sélectionnés pour ne jamais rattraper le gibier.,0,nothing
"Je découvre vos vidéos et j'adore! C'est passionnant et vous êtes passionnant! J'ai découvert le maraîchage sol vivant par un maraîcher en février 2020, en Catalogne française dans l'arrière pays de Perpignan. Et depuis, je suis convaincue par cette pratique et cette démarche, qui, comme vous le dites, va bien au-delà de l'agriculture biologique qui recopié le modèle d'agriculture classique en remplacement les produits par du bio. J'ai hâte de voir vos autres vidéos, et j'aurais un très grand plaisir à venir vous rencontrer.",0,nothing
Super reportage. Personne hyoer sympa et qui donne envie de mieux comprendre son mode de vie... Perso nous il nous faut une maison en dur pour vivre... mais c'est très inspirant pour voyager et découvrir le monde!,0,nothing
"magnifique apres une premiere mise en place d petits bacs cette année je voulais ""convertir"" une partie du potager mais ne savais pas par où commencer",0,nothing
"Bonjour, quel broyeur utilisez vous pour les déchets de fin de saison type branches de tomates, feuilles de courges??? Merci 🙏",0,P6
"Quel beau choux, chez moi ils sont bouffés par les pucerons ou autres bestioles....",0,P2
"Et que peut-on faire des restes de noisettes après la fabrication du lait de noisette ? Qu'est-ce que ça a perdu ? Ça a encore le goût, la texture, la valeur nutritionnelle des noisettes, etc ?",0,nothing
"Damien a inspiré beaucoup de personnes. Toutes les vidéos sont a regarder pour les néo-ruraux, néo-jardiniers, Damien diffuse des vidéos depuis au moins 8 ans . Il ne surfe pas sur la vague des tuto -influenceurs -vendeurs . Grand respect Monsieur",0,nothing
"J'ai remarqué que vous aviez un paillis pour les choux, pas pour le reste. C'est un choix où le hasard ? Merci Olivier !",0,P6
"merci de cette émission passionnante , et à bientôt en vrai... je pense que j'ai besoin d'apprendre avec vous, Anaëlle!",0,nothing
"Un grand merci pour cette vidéo, que je viens de regarder pour la seconde fois. Une grande source d'inspiration et je ne vais pas manquer de partager la vidéo et de consulter le site de David. Merci Brian pour ce reportage.",0,nothing
salut les filles ho mon dieu tu enfonces les plants de tomates tu vas avoir droit a un tas de remontrance te disant qu'ils ne faut pas enterrer plus que la motte sinon tu va avoir un tas de maladie etc etc ah bin tient j'ai a peine fini mon com que ça commence déjà 🤣🤣🤣🤣🤣🤣🤣🤣 tu as raison il faut toujours arroser a la plantation méme si les scientifiques diront que c'est pas bien 🤣🤣🤣🤣🤣🤣🤣🤣 le jardin d'Elodie prend forme a bientot,0,P3
"Mouaiii si tes en Belgique comme moi, ton four tu va l'utiliser 30jour par an chouette",1,nothing
"Chez moi ce ne sont ni des arbres à pain ni à saucisses mais des arbres à œufs car ce sont mes poules (Noir de Janzé, très rustiques) qui mangent les chataignes 🤠",0,nothing
"Bonjour Elodie & Maud, encore une vidéo Sympa...",0,nothing
"Bonjour, connaitriez vous un pepinieriste qui livre de l asiminier dans le nord de la france ? Merci.",0,nothing
Merciii,0,nothing
Jolie les petites jersiaises 😏,0,nothing
35cm de profondeur on est sur la profondeur d’une ornière d’engin de chantier ( en passage multiple),0,nothing
"C'est parti depuis plusieurs semaines chez moi. Merci pour tes conseils ! Chez moi, les petits pois sont semés dans des godets un peu plus grands, et les carottes en pleine terre (sous chassis), mais je suis intéressé par d'autres façons de faire, et le résultat que ça donne !",0,nothing
Du coup la question est simple. C en sera fini des cuves au final ??,0,P3
"grand merci pour toutes ces bonnes idées qui nous motivent. je suis en train de lire le livre FORET COMESTIBLE super intéressant qui nous donne tout de suite des clés, de quoi se lancer. Merci pour ta générosité et ton application permanente du précepte de Gandhi (convaincre par l'exemple) et çà marche!",0,nothing
Les bombe que ta prix au action c est spéciale metale et pas plastique dans quelque temps avec le soleil la pluie le beau temp tous va s écailler la meilleure solution est enterrer tes cuve ou de les couvrir d un drap opaque ou une bâche,1,P3
Super ta vidéo et très bien explique,0,nothing
Est ce possible d’organiser des stages de découpe du cochon avec Jeannot ?,0,nothing
Je les ai vu les Hope !👌,0,nothing
pk faire hors sol et sol vivant pourquoi ne pas faire une étude sol sol plus tôt que sol air forcément les résultat ne seront pas les mêmes ....,1,P6
28:50 Il a raison faut éviter de tourner autour du pot :p,0,nothing
En effet des images meilleure qualité et un micro ce serait pas mal tout ceci est super intéressant mais on ne peut pas enregistrer les données Encore merci à tous pour tous vos efforts et votre partage,0,nothing
Trop loin....😢,0,nothing
"Bonjour, malheureusement j'arrive un peu tard mais si ma question peut être remise au débat Lors de votre prochain live. Je me suis renseigné sur le taux de silice dans le bambou et selon ce que j'ai vu, il aurait le même que le chanvre. Ayant énormément de bambou sur mon terrain j'aimerais essayer un fibrage pour un colombage avec du bambou broyé et pourquoi pas faire une trame en écorce de bambou pour maintenir le mélange en place. Qu'est ce que nono en pense ? Sachant que le but c'est d'habiller un mur en pierre calcaire qui a des surfaces de raccommodage au ciment que je n'ai pas pu piquer (j'habite à la limite Vendée/Deux-Sèvres)",0,nothing
Un grand merci pour toutes ces idées pour 2024 et pour le code promo 😁 Comment faire craquer son portefeuille en 10 secondes 😂😅,0,nothing
Magnifique moment !!,0,nothing
"Bonjour, Chez qui avez vous réalisé l'outil ?",0,nothing
Merci pour l'info,0,nothing
C'est un fauchon la faux avec une lame courte et large.,0,nothing
"Très bonne vidéo, les informations sur les macérations (fabrication et applications) sont très bien expliquées dans les livres d'Éric Petiot.",0,P2
Bravo Olivier pour tes conseils précieux 👍,0,nothing
la ferme autonome tu m'avais manqué merci pour ton contenu de très haute qualité.,0,nothing
"Être maraîcher aujourd'hui dans ce contexte économique et climatique relève de la folie et de l'héroïsme. Votre force de conviction et votre mentale pousse au respect. Mes respects, chapeau bas, vous êtes force d'inspirations",0,nothing
"Super merci Olivier, nous en sommes presque au même stade 😊 et pareil on echelonne les radis, salade courgettes etc",0,nothing
Lol ! « Barrez-vous ! » 👉🏽🤣 heureusement que je suis resté encore pour entendre parler du livre 📚,0,nothing
Nous avons une cuve de 5000 litres qui recupere les eaux de pluie auquel s ajoute la sortie des eaux usées après filtration par du sable. Nous avons toujours de l eau actuellement pour arroser jardin et arbre planté à l automne.,0,P3
"Bonjour Olivier. Déjà merci pour tes vidéos utiles. Ce qui est de la gestion de l'eau, que penses tu des oyas pour les petits potager d' environs 20 à 50 m2 (ce qui est mon cas) ? As tu aussi une idée très arrêter comme un autre youtubeur qui m'a répondu ""c'est pour les bobos ecolo à la con qui ont plein d'argent "". J'ai trouvé ça un peu rude et non diplomate de ça part, étant donné que je suis un modeste ouvrier. Je tiens à préciser que j'avais mentionné que l'on pouvait les faires sois même. Depuis la plantation de mes plants de tomates, paillé je les jamais arrosé, je remplis juste mes oyas de 3 litres une fois par semaine . Je voulais juste ton avis,car toi aussi tu en parles jamais et c'est pourtant une bonne alternative pour économiser de l'eau . Merci à toi ,j'apprécie regarder tes vidéos.",0,P3
Si j'ai bien calculé ça donne 62.5 T/Ha ! Ça vend déjà du rêve...,0,nothing
"Merci beaucoup, la vidéo m' a plu",0,nothing
You always bring a smile to my face.,0,nothing
bonsoir vous faite du très beau travaille en motte ça marche très bien mon presse motte fait 8cm sur 8 et 8 de haut,0,nothing
Merci pour ces vidéos,0,nothing
pour comparer il faut que les habitudes aient été les mêmes d'une période à une autre,0,nothing
"Salut, Bonne vidéo, Dis moi j'ai pus voir que tu avais un écran sur le bare prise, est ce une barre de guidage ? Si oui qu'en penses tu?",0,nothing
Sujet a suivre 😁 J'aime bien vos assiettes Bulgare 😉,0,nothing
"Magnifique découverte , 10:23 j'espère bien que tu continueras à nous partager ça ❤ , félicitations à vous et aux bénévoles pour ce beau projet 🙂",0,nothing
"Bonjour Messieurs, Merci pour votre courage et votre travail ! Que la critique se fasse, mais les jugements et bla blateurs troll, passez votre chemin ou faites leur travail et on verra alors ! Merci encore Messieurs !!",0,nothing
"Bonjour, merci pour cette video ! Petite question, dans un terroir soumis à des risques importants de gelée tardive, quelles seraient les variétés les plus adaptées ? ... ;-)",0,nothing
utilisation des saules et du peuplier en phytoremédiation https://www.youtube.com/watch?v=zYzH6uIUFU4,0,P6
Très belle vidéo explications j'adore tes vidéos tu es un bon paysan j'espère moi je aime beaucoup les Michelin 😻,0,nothing
Bonjour Brian et Nono 🙋. Je conprend pas j'ai.pas eu la cloche pour m'avertir du départ en Replay du coup 🫢,0,nothing
Bravo Olivier il est super cool ..ton potager.!!!..,0,nothing
"Merci Olivier pour cette Vidéo très intéressante et ton partage d'expérience. Concernant l'arrosage, pourrais tu préciser à quel moment de la journée tu arroserais quand on a pas de système goutte à goutte ? Pour ma part j'arrose en fin d'après midi une fois que les plans sont à l'ombre.. est)ce une bonne pratique selon toi ?",0,P3
"Skyppi ça y est j'ai mes deux premières vaches (génisses de 6 mois) le premier jour une horreur sans nom même le diable arrive pas à la cheville 4 jours que je les ai, que des emmerdes et du bonheur. je me fais raper le front par des bestioles avec du caractère de cochon. alors paysan agricole bizoux",0,nothing
"Très bonne idée, je me dis qu'on peut se fabriquer un harnais pour éviter la traction avec les bras en arrière.",0,nothing
"bla bla bla t""es un gars, t'as pas de gamin ? et quand t'es une meuf, avec des gosses, que le gars n'a pas assumé, tu fais comment...pour faire des économies, acheter un truc, maison et terrain... non tu fais rêver.... ah ouais, je me dis, je suis bien une .... je ne sais pas je ne trouve pas le terme. moi je n'ai rien, tout ce que j'ai, je l'ai dépensé pour mes gamins pour qu'ils aient une vie meilleure. Je n'ai pas décidé d'être une mère, mais mes enfants m'enrichissent dans mon coeur. Non ce ne sont pas des mots, tous les jours j'apprends. Même si eux-mêmes ne vont pas bien....",1,nothing
"savoir et savoir faire , très bon titre .",0,nothing
"ça existe pas les sols en indigestion de paillage c'est un gros mythe... Quels problèmes de saturation ? Les gens qui prétendent qu'on peut ""trop"" en mettre ne précisent jamais...",1,P6
C'est possible de faire plus court 😄,0,nothing
Bonjour comment vas tu bonne année superbe vidéo,0,nothing
"Bonjour, Bonne vidéo, Il faut également prévoir une paillasse à béton de recup ou du fil grillagé à plat autour du poulailler. Il evitera de gratter. Je n'ai pas vu que le pondoir n'était pas verrouillé. Prudence Le renard est très opportuniste. Il faut remettre un deuxième fil électrique plus haut. Il peut sauter et grimper cette hauteur. C'est du vécu. Bonne suite",0,P2
"OK mais il a pas dit si c'était sur broyat ou sur compost de déchets verts, avec ou sans bâche, dommage.",0,P6
Faut-il un couvercle sur le récipient ou faut-il le laisser à l'air libre?,0,nothing
"Génial David, tu peux continuer ce format , j.adore!",0,nothing
"Bonjour, quel espacement pour planter en bosquet? Merci",0,nothing
"Le compost ici on aime ça un peu, beaucoup, à la folie. Ici petits et grands y participent, d'ailleurs notre grand à grondé ses grands-parents qui ont ""osé"" jeter des épluchures à la poubelle. Pour le marc, encore une affaire de compromis pour moi qui suis le seul consommateur de café à la maison. Je voulais absolument une machine à dosettes que je trouve plus pratique que la machine à filtre, surtout quand on fait un seul café à la fois, et même si ce n'est pas le café que je préfère j'ai quand même pris celle avec les dosettes en ""papier"" qui sont justement compostables, c'est d'ailleurs incroyable la vitesse à laquelle ça disparaît au compost, à chaque fois c'est l'affaire de quelques jours. Merci pour ta vidéo.",0,P6
"Coucou les filles ! C'est vraiment génial de voir le jardin prendre forme petit à petit, et l'implication de chacun ! Vous avez de la chance d'avoir découvert cette source, pas de problèmes d'arrosage 😁 Vivement le prochain épisode !😘😘😘",0,P3
Merci beaucoup pour toutes vos vidéos !!!,0,nothing
"Super vidéo, juste une précision : 21 min, c est plutôt 38 à 40 milliards de tonnes de co2 qui sont émis chaque année dans l atmosphère Mais remonter le taux de MO des sols est, c est vrai, un énorme moyen de stocker du carbone de l air pour le restituer au sol Excellent l explication de 22 min à 24",0,nothing
Ou se trouve l'émission en entier?,0,nothing
Slt superbe vidéo est se que tu pourrais faire 1 vidéo toute les deux semaines stp,0,nothing
"Moi qui pensais que vous vivier au XVIII siècle, finalement, il n'y a que les livres !🤣 Chacun voit midi à sa porte ou à chacun de mettre le curseur entre rationnement/sobriété/contraintes/résilience/.../confort. Pour votre eau chaude, pourquoi ne pas voir du côté d'un chauffe eau solaire ? Par exemple sur la chaîne de ""DIY avec polo"" la vidéo intitulé ""Chauffe-eau solaire : rentable ?"". Bon c'est une rolls du chauffe-eau solaire mais c'est un bon retour d'expérience. On trouve des chauffe-eau solaire pour moins de 1500€00. Je ne sais pas vraiment mais un circulateur cela me semble bien plus simple, économique et durable(résilient) ? Je vois beaucoup de vidéo/témoignage/annonce qui parle du thermodynamique et il y a du bon (économie d'usage) et moins bon (entretien (filtre, contrôle/recharge du fluide caloporteur), pannes de carte électronique, avec/sans split, durée de vie du compresseur, ...) soit ce que vous appelez les coûts cachés.. Pouvez-vous nous indiquer quel chauffe-eau thermodynamique de 100l vous envisagez installer (mise en service incluse) à 1700€00(?) ? Sinon un cumulus cela s'entretien maximum tous les 2 ans (vidage, nettoyage, changement de joints que l'on peut faire soi-même) et peut durer plus de 10 années (anode stéatite/titane et eau pas trop calcaire).",1,P3
"En tant que jeune chasseur (24 ans) je peux vous assurez une chose. C'est que si une personne tire sur un chevreuil ou un sanglier avec de la grenaille de 3-4 mm, ils sont : 1 non seulement stupide parceque de la grenaille de 3-4 mm peut importe la distance ne TUERAS JAMAIS un sanglier, peut être un chevreuil(un cerf/biche aussi) mais à TRES COURTE distance (2-7m) et uniquement avec une cartouche placer chirurgicalement entre les deux yeux ou en plein dans le buste au niveau du cœur(et même dans ce cas je pense que la pauvre bête doit terriblement agoniser). 2 Ils sont totalement dans l'illégalité car chaque gibier chassé dispose d'une réglementation spécifique dont une en particulier présente ici qui est la réglementation sur le type de munition utiliser, dans se cas de la grenaille de 3-4 mm est forcément une munition utiliser pour la chasse au petit gibier volatile c'est à dire soit une cartouche avec une granulométrie de 8, 9, 10 ou plus. si c'est soit disant chasseur était réellement en train de faire une battue au chevreuil ou au sanglier il aurait dû utiliser sur un calibre 12 une cartouche avec une granulométrie comprise entre 1 et 3 pour le chevreuil (a peut prêt 1cm de diamètre) à une distance maximale de 20-30 m de tir. le sanglier doit etre abatue avec une munition appeler ""Bruneck"" (une balle dans une cartouche) ou avec un fusil à balle PS: La chasse régules ""en partie"" la propagation des maladies chez l'être humain et l'animal domestique ou preserve l'espece animal ex: une société de chasse Cognassaise avez un chevreuil albinos ils voulaient le garder comme ""emblème"" de leurs société c'est les gardes de chasse qui ont forcer l'abattage car risque de propagation du gênes",0,nothing
Merci pour le partage de la redif. Et félicitations continues comme ça..merci,0,nothing
"SALUT Olivier, je te l'ai déjà proposé plusieurs fois, de jeter un œil sur mes modestes vidéos amateur, mais je sais que tu es débordé et bien chargé, mais pour te dire, dans ma dernière de ce soir, JE NE TAILLE PAS MON CONCOMBRE, et j'en suis déjà a 4 calos récoltés, avec des ramifications, une super productions, et en plus en jardinière, et pour mon pied de tomate, j'effeuille a outrance, mais comme je n'ai pas taillé les gourmands, je me retrouve envahie de ramifications, presque 100 tomates en cour de production, sur un seul pied, en comptant les fleurs..... Jette y un oeil.... :)",0,PRecolte
Bonjour Stéphane superbe idée Pour info suite au stage les greffes ont toutes reprises Mais je l'avoue je ne les arroses pas régulièrement Je garde un très bon souvenir de notre rencontre Eric,0,nothing
EXELENT,0,nothing
"N'oubliez jamais de refermer vos citernes, qu'un animal ( chat, fouine, rat, souris, martre, etc...) ne vienne pas s'y noyer, il n'aurait aucune chance de remonter.",0,P3
"""Je plante donc je suis"", Dekarz 😂",0,nothing
Soutien aux agriculteurs !,0,nothing
Passionnant ! Est-ce qu’il serait possible (afin d’éviter d’utiliser du glyphosate) d’effectuer un travail du sol ponctuel sur les zones problématiques seulement ?,0,P7
🙏🍈💚🌱🫶🫑🥝🥒🍋 🐨🦦🦔,0,nothing
Tu sais que traire les vaches tous les jours deux fois par jour sa entraîne la enflure du pie ses pour sa que tes vaches ont une mamelle très grosse qu’elle ont un peut de mâle à marcher est je sais que pour que le lait coule il faut que là vaches sois détendu et puis ses pas naturel pour là vaches de faire énormément de lait par jour en plus ses des incimination donc ses encore mois naturel,1,nothing
bravo jolie réussite Stéphane pour cette greffe avec plusieurs variétés. cela peut être très intéressant pour créer une jolie propriété arboré 🙏🦁😎✋✋,0,nothing
merci pour ces idées automnales 😉,0,nothing
Tu doutais avec raison pour le mot entremêlage…on dit entremêlement.😅,0,nothing
"Je suis allé voir sa chaîne. Sans vouloir polémiquer, pour avoir des abonnés, il faudrait qu’il y ait un minimum de contenu !",1,nothing
"Pour les études, contactez les agences de l'INRAE de Dijon et le muséum d'histoire naturel si vous n'êtes pas déjà en contact avec eux !",0,nothing
ou dans la merde ...^^,0,nothing
"Ah les petit pois du jardin! Une friandise! Perso je sème en pleine terre et je dispose les tailles de rosiers par dessus, les oiseaux ne viennent pas s'y poser! En tout cas ça marche chez moi! David de saône et loire.",0,nothing
"Coucou Maud ! Encore une super vidéo bien expliquée, un vrai plaisir !!! 😘😘😘",0,nothing
"Top ! J ai vu une conférence de baptiste morizot qui parle de la même chose que vous et qui développe ces techniques avec des assos près de chez lui , contactez vous ! Plus on est de fous plus on rit !",0,nothing
"Toi le chevreuil, tu sais ce que consomme en carbone ta vidéo de merde ? 👊🏼",1,nothing
