,text,label
11,"C'est bien qu'on s'auto-suffise, mais comment ça peut fonctionner lorsque la plupart de nous n'avons pas les compétences techniques nécessaires ? Est-ce que nous devons tous devenir des experts en construction durable et agriculture permaculture avant d'être capable de vivre de manière autonome?",1
12,"Je suis d'accord qu'il est important de se rendre indépendant, mais la plupart des gens ne peuvent pas se permettre de construire leur propre logement. Nous devons trouver des solutions qui sont accessibles pour tous les membres de notre société.",0
13,"J'aime cette idée, mais comment faire en sorte que nous pouvions obtenir de l'énergie durable sans dépenser beaucoup d'argent ? C'est difficile pour une grande majorité des gens.",0
14,"Je suis convaincu que l'indépendance est le chemin à suivre, mais comment pouvons-nous nous garantir de la survie en cas de crise majeure ? Nous devons être prêts pour les pires scénarios.",0
15,Encore une vidéo qui met l'accent sur la dépendance à la société plutôt que sur la prise de responsabilité personnelle et le développement autonome. Il est temps d'encourager les gens à travailler sur eux-mêmes plutôt que de suivre des modèles sociaux.,0
16,Je me suis demandé si étant auto-suffisant signifie être indifférent aux autres ou simplement capable de vivre sans dépendance économique à l'égard d'une personne ou d'une organisation. Quelle est votre opinion sur ça ?,0
17,"Avec tout ce qui se passe dans le monde aujourd'hui, il serait plus utile pour les gens de travailler sur leur autonomie plutôt que de dépendre du gouvernement ou d'autres institutions. Est-ce que vous pensez qu'il est possible pour la société d'encourager une mentale auto-suffisante ?",1
18,Il serait si bien sûr plus intéressant de voir des vidéos qui expliquent comment devenir auto-suffisants plutôt que de nous faire sentir coupables pour nos choix personnels. N'est-ce pas le moment d'apporter un réel éclairage sur la question ?,0
19,"Je pense qu'il est important d'être capable de prendre soi-même en charge, mais je ne suis pas sûr que cela signifie être isolé du monde extérieur. Peut-être devons-nous plutôt apprendre à travailler avec notre environnement plutôt que contre lui ?",0
20,"Encore une vidéo qui nous enseigne à vivre dans notre propre ombre. Si nous vivons tous en auto-suffisance, qu'arriverait-il aux communautés ? Est-ce que cela n'empêcherait pas la collaboration et l'aide mutuelle entre les humains?",1
21,"Cette idée d'auto-suffisance est intéressante, mais je me demande si cela est réaliste pour la majorité des gens ? Est-ce que nous avons tous les moyens pour être entièrement auto-suffisants ? Qu'en pensez-vous ?",0
22,"Je ne suis pas d'accord avec cette vidéo qui prône l'auto-suffisance comme une vie idyllique. En tant qu'être humain social, je crois que la communauté est essentielle pour notre santé mentale et physique.",1
23,"Je trouve que cette vidéo manque d'une bonne dose de réalisme. L'auto-suffisance n'est pas toujours possible pour les gens, particulièrement dans certaines régions du monde où il y a des ressources limitées.",1
24,"J'ai trouvé cette vidéo très éloquente et intéressante. Je suis d'accord que l'auto-suffisance peut être une solution pour nous répondre aux défis actuels de notre monde, mais il est également important de ne pas oublier la nécessité de collaboration et de solidarité entre les humains.",0
25,"Encore une vidéo qui ne propose rien de nouveau, tout cela est déjà connu des adeptes d'une vie plus simple et auto-suffisante depuis bien longtemps. On cherche plutôt à mettre en pratique ce qu'on apprend que de simplement l'écouter.",1
26,"Encore une fois, cela ne dépasse pas les frontières de la théorie. Comment voulez-vous être auto-suffisant si vous n'avez pas de ressources pour le mettre en pratique? C'est simplement une idéologie pour les gens qui ont déjà tout.",1
27,"Cette vidéo est un excellent point de départ pour ceux qui veulent comprendre la vie auto-suffisante, mais j'aimerais plus d'exemples pratiques plutôt que des théories générales.",0
28,Je suis déçu par cette vidéo. Elle manque de précision et ne donne pas assez d'informations pour mener une vie auto-suffisante. Cela ressemble plus à un rêve qu'à la réalité.,1
29,"Cette vidéo est intéressante, mais elle omet les coûts élevés et les difficultés d'une vie plus simple. Vous devez être préparé pour des sacrifices importants avant de pouvoir vivre comme cela.",0
30,"En tant que défenseur des droits de l'homme, je pense que nous devrions aider les autres plutôt que de nous focuser sur notre propre survie. L'auto-suffisance ne peut pas être le seul objectif.",0
31,Je ne suis pas d'accord avec cette idée de se concentrer uniquement sur notre propre bien-être. Nous devrions aider nos voisins et notre communauté à prospérer également.,0
32,"Cette vidéo met en avant l'idée que nous pouvons vivre sans l'aide des autres. Mais je crois que nous ne sommes pas faits pour être isolés, nous devrions travailler ensemble pour atteindre nos objectifs.",0
33,"J'ai trouvé cette vidéo très intéressante, mais je pense que l'auto-suffisance doit être accompagnée d'un esprit de collaboration et de solidarité avec les autres.",0
34,"Il est important de se concentrer sur notre propre bien-être, mais nous ne devons pas nous détacher complètement des autres. L'auto-suffisance doit être équilibrée par un esprit d'aide mutuelle et de soutien.",0
35,"Encore une vidéo qui pousse à se fermer sur soi-même ! La collaboration et l'entraide humaine sont notre force principale, n'oublions pas que nous sommes des être sociaux au fond.",0
36,"Tout ce qui est dit ici est de la blah blah ! Je suis mieux avec mes amis, partageant, riant et travaillant ensemble pour atteindre notre objectif commun.",0
37,Cette auto-suffisance est un mythe ! Nous avons besoin d'aide l'un de l'autre pour survivre et progresser dans la vie.,0
38,"Il y a des limites à ce que nous pouvons faire seuls, c'est importante de ne pas ignorer les autres et de collaborer pour atteindre nos objectifs communs.",0
39,"Cette vidéo est ennuyeuse, je pense que l'auto-suffisance est une idée romantique qui ne fonctionne pas dans la réalité. Nous sommes des êtres sociaux et nous avons besoin d'autres personnes pour notre bien-être et notre succès.",1
40,"Eh bien, j'ai essayé ma main à cette auto-suffisance et je dois dire que ca me rend malade! Trop de travail, pas assez de temps pour relaxer! 🤕",0
41,"Je trouve cela assez optimiste... Mais enfin, qui dit que l'on ne peut pas être heureux en se faisant soi-même ? 😊",0
42,"Cette vidéo parle beaucoup de responsabilité personnelle mais il faut savoir qu'il existe une limite à ce qu'on peut faire seul, il faut aussi apprendre à demander de l'aide lorsque cela est nécessaire! 😉",0
43,"Quand on parle de s'auto-suffire, il faut bien comprendre que chaque action a des conséquences sur notre environnement et nos ressources ! On ne doit pas oublier l'importance d'être responsable envers le monde autour de nous! 🌍",0
44,"J'ai trouvé la vidéo très intéressante, mais je pense qu'il est important de savoir que la santé mentale est aussi importante que l'auto-suffisance physique ! On ne peut pas tout faire seul et il faut également savoir quand accepter de demander de l'aide pour se bien sentir! 🧠",0
45,"Quelqu'un m'a parlé de cette vidéo et je suis impressionné par le passionnant discours sur la sérénité et la résilience en toutes circonstances, mais je ne comprends pas pourquoi on doit se détacher des autres pour être heureux. Nous sommes tous plus forts ensemble, non ? C'est mon point de vue.",0
46,"J'ai trouvé cette vidéo très intéressante, même si je ne suis pas d'accord avec tout ce qu'on dit à propos de l'indépendance personnelle. La coopération et la solidarité sont aussi importantes pour une vie heureuse et satisfaisante. C'est mon opinion.",0
47,"Je trouve que cette vidéo est très enrichissante et m'a aidée à comprendre mieux moi-même. Quelqu'un a dit qu'il faut se reposer sur soi pour être heureux, mais j'ai toujours cru que la joie venait de la connexion avec les autres. Je suis curieux de savoir ce que vous en pensez.",0
48,"Je ne suis pas d'accord avec cette vidéo qui prône l'indépendance et le rejet du monde extérieur pour trouver la paix. Je crois plutôt que nous devons chercher à comprendre et à aimer les autres, même lorsque cela est difficile. C'est mon point de vue.",0
49,"Cette vidéo parle beaucoup de l'importance d'être autonome pour trouver la joie dans la vie, mais je pense que cela ne peut être réalisé qu'en travaillant ensemble avec les autres. Nous sommes tous interdépendants, et nous devons apprendre à coopérer pour atteindre notre plein potentiel. C'est mon opinion.",0
50,"Cette vidéo est tout simplement magnifique! Je suis convaincu que tous nous devrions prendre l'initiative de devenir plus indépendants, non seulement pour nos propres besoins mais également pour améliorer notre planète. Nous pouvons réduire notre empreinte écologique et devenir plus self-sufficient si nous mettons un peu d'effort.",0
51,"J'ai été surpris de voir combien il y a de choses que nous pouvons faire pour nous rendre plus autonomes. J'ai toujours pensé que la vie autonome était difficile, mais cette vidéo m'a démontré l'inverse. Merci pour ce contenu stimulant!",0
52,"Je suis d'accord avec beaucoup des idées présentées dans cette vidéo, mais je pense que cela peut être difficile pour les gens ayant un travail et une vie qui leur sont déjà occupés. Cependant, je pense qu'il est important de tout faire pour devenir plus indépendants et réduire notre dépendance aux grandes sociétés.",0
53,"Je suis désolé si j'ai été un peu dur dans mon commentaire précédent, mais il y a certains aspects de l'auto-suffisance que je trouve difficile à implémenter dans ma propre vie. Je pense que cela peut être déroutant pour certaines personnes qui n'ont pas beaucoup d'expérience avec le sujet.",0
54,"J'ai trouvé cette vidéo extrêmement utile et je suis désolé si certains utilisateurs ont été offensés par mes commentaires précédents. Je pense que l'auto-suffisance est une idée importante que nous devrions tous apporter dans notre vie, et cette vidéo a fourni des informations utiles pour commencer.",0
55,"Encore une vidéo qui encourage la passivité et l'individualisme au détriment de l'aide mutuelle et de la solidarité humaine. Aidez-vous les uns les autres, c'est notre force !",0
56,Cette approche ne prend pas en compte les circonstances qui peuvent rendre une personne incapable de s'auto-suffire. Nous devons soutenir et aider les plus faibles.,1
57,Pourquoi encourager le repli sur soi au détriment du progrès social ? On ne peut pas vivre en isolation dans ce monde. Il faut apporter des solutions communautaires.,1
58,"J'ai trouvé cette vidéo très intéressante, mais je pense que nous devons étendre l'idée d'auto-suffisance à notre société entière pour être vraiment efficaces.",0
59,"Il est important de s'occuper d'eux-mêmes, mais pas à l'exclusion des autres. Nous devons avoir une vision globale et comprendre que l'auto-suffisance est un moyen de créer une société plus saine et durable.",0
60,"Encore une vidéo qui encourage l'individualisme à détriment de la solidarité humaine. Nous devrions travailler ensemble pour construire un monde meilleur, pas se consacrer à notre propre survie.",1
61,"Il est important de s'auto-suffire en matière d'énergie et de nourriture, mais ne nous oublions pas que cela doit être fait avec respect pour la nature et en harmonie avec les autres êtres vivants.",0
62,"Je suis d'accord sur l'importance de s'auto-suffire, mais cette vidéo manque d'envisager les conséquences sociales long terme. Comment pourrons-nous travailler et collaborer si nous sommes tous couverts dans notre propre autarchie?",0
63,"Cette vidéo semble ignorer la réalité de nos sociétés complexes où l'auto-suffisance n'est pas facile à atteindre pour tous, même avec les meilleurs efforts.",1
64,"En tant qu'individus, nous pouvons prendre des mesures pour devenir plus auto-suffisants, mais il est important de ne pas perdre de vue que la réelle puissance réside dans notre capacité à travailler ensemble pour construire un monde meilleur.",0
65,"Quand on est capable de produire son propre électricité, de cultiver sa nourriture et d'être autonome en eau, alors nous pouvons parler réellement d'indépendance ! #EcoRevolution",0
66,Pourquoi suivre une vie de consommateur aveuglé lorsque l'auto-suffisance est dans notre portée ? Chaque pas vers la self-sustainability est un pas pour notre avenir et notre planète !,1
67,Il est temps pour nous de revenir à nos racines et d'être à la source de nos ressources plutôt que d'être dépendant des grands systèmes corrompus. Laissez-nous être libres !,0
68,"Je me suis aperçu que l'auto-suffisance n'est pas un rêve impossible, mais une réalité à portée de main pour tous ceux qui ont la volonté de prendre leur destin en main. Vive le changement !",0
69,"En vivant de manière auto-suffisante, nous prenons notre destin entre les mains et nous échappons aux chaînes de la consommation. C'est une révolution sociale et écologique qui doit être encouragée !",0
70,"Ah non, il faut toujours compter sur l'aide extérieure pour nous aider à survivre dans ce monde. L'indépendance est une illusion romantique et dangereuse.",1
71,Cette vidéo montre des idées très intéressantes mais je pense qu'il est impératif de maintenir notre solidarité humaine plutôt que de nous concentrer uniquement sur l'individualisme et la survie seul.,0
72,"Je ne suis pas d'accord avec le point de vue de cette vidéo, je pense que la dépendance envers nos proches et notre société est un aspect crucial de l'existence humaine.",0
73,"Cette vidéo est très fascinante, mais je ne suis pas sûr si j'ai le courage d'être aussi auto-suffisant que cela suggère. Quelqu'un peut m'aider à en savoir plus?",0
74,"Je trouve cette vidéo très intéressante, mais je pense qu'il est important de préserver notre environnement plutôt que de nous concentrer uniquement sur la survie personnelle.",0
75,Encore une vidéo sur l'indépendance individuelle ? Vous ne parlez pas de la vraie indépendance qui est de nous délivrer de nos préjugés et des systèmes oppressifs qui nous entourent. Laissez-nous réfléchir à notre société !,1
76,"Il faut bien se poser la question, vous, de savoir ce que représente vraiment l'indépendance. Quand les gens sont enfermés dans des structures qui les contraint à suivre un modèle établi, comment peuvent-ils être indépendants ?",0
77,"En faisant la promotion de l'indépendance individuelle, vous nous aidez à entrer dans une bataille contre notre propre humanité. Nous sommes tous interdépendants et devons apprendre à travailler ensemble plutôt que de nous battre pour nos intérêts propres.",0
78,"Bref, ce n'est pas le mot 'indépendance' qui me fait sourire, mais les idées de personnalité indépendante et indépendance financière qui semblent être en vogue. La véritable indépendance consiste à pouvoir vivre harmonieusement avec les autres, tout en acceptant nos différences.",1
79,Vous parlez de l'indépendance individuelle mais vous ne parlez pas du prix qu'elle implique. Il faut être prêt à abandonner ce qui vous lie aux autres et à faire face à la solitude. Cela peut être très épuisant pour les gens.,1
80,Quel intérêt y a-t-il de se priver des avantages de la société pour vivre dans une utopie imaginaire ? Les progrès technologiques permettent aujourd'hui d'être autosuffisant sans abandonner à notre confort moderne.,1
81,"Cette idée vous paraît romantique, mais la vie sans les autres est insupportable. Nous sommes des êtres sociaux et nous avons besoin de l'interaction humaine pour vivre pleinement.",1
82,"Si la consommation est le problème, alors le vrai changement passe par une réforme sociale et politique, plutôt que par une auto-suffisance individuelle qui risque d'être inefficace.",1
83,Je trouve cette vidéo stupide. L'auto-suffisance est un idéal difficile à atteindre pour la majorité des gens et ne résout pas les problèmes sociaux ou écologiques de notre société.,1
84,"Ce n'est pas que je suis contre l'auto-suffisance, mais je pense que nous devrions investir dans un avenir durable plutôt que dans un retour à une vie plus simple qui ne résoudrait rien à notre problème d'overpopulation.",1
85,"Quand on parle de survie individuelle, il faut aussi s'interroger sur la solidarité et l'aide mutuelle entre les humains. Est-ce que l'auto-suffisance peut nous aider à vivre en harmonie avec nos semblables?",0
86,"La notion d'auto-suffisance est fascinante, mais je suis inquiet quant au fait qu'elle puisse nous isoler et nuire à notre humanité. Quel sens a-t-il de survivre si cela signifie perdir le lien humain?",1
87,"Pour moi, la survie individuelle est indispensable, mais il faut également s'attacher aux valeurs de partage et d'échange. On ne peut pas être véritablement auto-suffisant dans un monde où tout est interconnecté.",0
88,"L'auto-suffisance est une idée intéressante, mais je suis préoccupé par les conséquences sur notre environnement. Si nous nous auto-suffisons trop, nous risquons de nuire à la nature autour de nous.",0
89,"Je ne suis pas d'accord avec l'idée que l'auto-suffisance signifie survivre en se tenant loin des autres. Pour moi, cela implique plutôt de s'assurer que chaque individu a tout ce qu'il nécessite pour vivre en paix et avec dignité.",0
90,Quel dommage que certains ne voient pas l'avantage d'être indépendant et de s'occuper de leurs propres affaires plutôt que de dépendre de la société entière! La vie est beaucoup plus satisfaisante lorsqu'on est en mesure de prendre soin de soi et de sa famille.,0
91,Il y a trop de gens qui pensent qu'être auto-suffisant signifie ne pas avoir besoin d'autrui ou de l'aide des autres. Cela n'est pas vrai! L'auto-suffisance signifie simplement être capable de prendre soin de tes propres affaires tout en restant ouvert à l'aide et à la coopération lorsque cela est nécessaire.,1
92,J'ai toujours cru que l'auto-suffisance était essentielle pour ceux qui veulent vivre une vie heureuse et satisfaisante. Il n'y a pas de raison d'attendre que les autres soient responsables de tes propres destinées.,0
93,"Cette vidéo est magnifique, cela m'a incité à prendre des mesures pour devenir plus auto-suffisant! J'ai déjà commencé à réduire mes dépenses et à planter mon propre potager!",0
94,"Il n'y a pas de raison de croire que l'auto-suffisance est une chose mauvaise ou dangereuse. Au contraire, elle peut nous permettre de vivre avec plus de sérénité et de préparer à ce qui va venir.",0
95,"En réalité, la vie en autonomie est plus qu'extraordinaire. Je suis impressionné par ce que vous avez pu construire avec vos propres mains. Mais je pense qu'il y a une limite à l'autonomie... Nous sommes tous des êtres sociaux et nous avons besoin d'interactions humaines pour nous épanouir complètement.",0
96,"Cette vidéo est fascinante! Je suis complètement en admiration de la détermination et de l'ingéniosité des gens qui vivent en autonomie. Toutefois, il y a aussi un autre côté à considérer... Comment nous assurerons-nous que notre société reste équitable si tout le monde veut vivre en autonomie?",0
97,"Bravo à vous pour votre projet de vie en autonomie! Je suis vraiment motivé par votre passions. Cependant, je pense qu'il est important de prendre en compte les effets environnementaux et sociaux de la croissance exponentielle de ces projets.",0
98,"Cette vidéo est tout simplement géniale! Je suis vraiment inspiré par votre dévotion à l'auto-suffisance. Toutefois, je pense que nous devrions tous faire une étude approfondie sur la viabilité économique et environnementale de vivre en autonomie.",0
99,"Cette vidéo est vraiment bien faite! Je suis complètement motivé par votre passion pour l'auto-suffisance. Cependant, je pense que nous devrions tous nous demander si nous sommes prêts à abandonner la confort et la sécurité des villes pour vivre en autonomie.",0
100,Quel intérêt y a-t-il de rester dépendant des grands magasins lorsque nous avons tout autour de nous pour survivre? C'est un piège que les sociétés ont construit pour nous dépendre.,1
101,"La véritable liberté ne consiste pas à accumuler des richesses, mais plutôt à être capable de vivre en harmonie avec la nature et se réapproprier nos compétences.",0
102,Il est temps que nous cessons de croire qu'il faut dépenser des heures précieuses pour trouver les solutions dans les grandes surfaces commerçantes. Nous devrions redevenir une société autonome et innovante.,0
103,"En prenant soin de la planète, nous pouvons en tirer davantage que d'être dépendant des entreprises multinationales. Il est possible de vivre avec les ressources naturelles locales et de construire une société plus juste.",0
104,"Il est temps pour nous de prendre notre destin en main et de créer nos propres solutions plutôt que de suivre la mode sans réfléchir. Nous sommes plus forts ensemble, donc nous devons faire en sorte de construire un monde meilleur ensemble.",0
105,"Cette vidéo a le don de faire éclater en rire ou en colère. Je ne suis pas d'accord avec ce point-là, mais je suis heureux que ce genre de discours soit au moins présenté pour être discuté. 💣",0
106,"Je pense que la vie dans la nature est difficile à gérer, même si on a tous besoin de prendre un peu plus de responsabilité pour nos propres déchets et impact environnemental. Les gens ne doivent pas être condamnés à vivre comme des sauvages juste parce que le gouvernement ou les entreprises ont échoué. 🌍",0
107,"Cette vidéo est incroyablement ennuyeuse et répétitive. J'ai déjà entendu ces arguments il y a longtemps, et je ne pense pas que ce genre de mentality s'applique à la majorité des gens. 😴",1
108,"Je ne suis absolument pas d'accord avec ce que vous proposez ici. Les gens doivent travailler ensemble pour construire une société plus juste et durable, plutôt que de se retirer dans les forêts et laisser le gouvernement foutre tout en l'air. 💪",1
109,"Je suis d'accord avec vous à un certain point, mais je pense que le mouvement pour l'auto-suffisance est souvent manipulé par des gens qui ont une vision idéologique étroite et ne comprennent pas la complexité du monde moderne. Nous devons travailler ensemble pour résoudre nos problèmes plutôt que de se concentrer sur des solutions individuelles 🤝",0
110,"Il semble que la seule solution à notre monde actuel est de ne plus avoir besoin d'autres gens pour subsister. Mais en nous isolant, n'oublions pas que l'humanité a toujours progresser grâce à sa capacité à s'aider les uns les autres.",0
111,"Avec tout ce qu'on peut trouver sur Internet, il est devenu possible de connaître beaucoup de choses sans jamais quitter votre maison. Mais que pensez-vous des interactions humaines et de la réciprocité envers nos communautés ? Ne perdons pas de vue le côté social de la vie.",0
112,"La survie de soi est une idée très intéressante, mais ne nous oublions pas que les progrès technologiques sont également une façon d'atteindre l'autonomie. En utilisant les dernières technologies, il est possible de construire une vie plus saine et plus autonome, sans pour autant devoir abandonner les gens.",0
113,"Je comprends que vouloir vivre de manière indépendante peut sembler attrayant, mais ce n'est pas la solution à tous nos problèmes. Les relations humaines et notre engagement communautaire sont également essentiels pour une vie heureuse et satisfaisante.",0
114,"Cette vidéo fait réflechir sur le fait que nous vivons dans un monde où l'individualisme est souvent prédominant. Mais en tant qu'être humain, n'oublions pas que notre succès dépend également de nos relations avec les autres.",0
115,"Cette vidéo est très intéressante, mais je suis curieux de savoir comment on peut être complètement indépendant dans une société qui dépend beaucoup des technologies modernes. Cela ne semble pas possible à mon avis.",0
116,"J'adore ce type de contenu, mais j'ai quelque peu de doutes sur la viabilité du mode de vie décrit ici dans le monde moderne. Peut-être est-il plus réaliste de chercher à être autonome tout en restant connecté au réseau social.",0
117,"Merci pour cette vidéo, c'est vraiment inspirant! Mais j'aimerais que l'on discute un peu sur la question de la responsabilité environnementale dans le contexte d'une vie autonome. Il est important de penser à notre empreinte carbone.",0
118,"Il y a quelques points très intéressants dans cette vidéo, mais j'ai une question : comment se passer des services publics essentiels comme l'éducation et la santé lorsque vous choisissez de vivre de manière autonome?",0
119,"Je trouve ce mode de vie fascinant, mais je suis préoccupé par le fait que la majorité des gens ne pourraient pas le mettre en pratique à cause des coûts élevés et du temps nécessaire. Cela ferait-il que la société se scinde entre les autonome et les dépendants?",1
120,"Quand on est capable de vivre sans dépendre des grands magasins pour tous les petits bijoux et accessoires de la vie quotidienne, je pense qu'on peut dire avoir atteint un niveau de maîtrise rare. Quel talent incroyable !",0
121,"J'ai essayé d'être autosuffisant en cultivant mon propre jardin, mais les glaces et le froid hivernal ont eu raison de mes pommes de terre. 😞",0
122,"Pourquoi pas faire tout soi-même ? De cette façon, on peut se rappeler de sa propre valeur et ne plus dépendre d'autres pour des choses aussi simples comme un repas ou un linge propre.",0
123,"Ce n'est pas facile d'être autosuffisant en tant que citoyen moderne, mais je pense que cela vaut le coup pour les raisons éthiques et écologiques. Oui à la vie durable !",0
124,"Je suis tellement impressionné par les gens qui peuvent fabriquer leur propre fromage ou même leur propre linge, mais je me demande si cela vaut toujours le coût en termes de temps et d'efforts.",0
125,"Merci pour cette vidéo intéressante ! Mais je pense qu'il est important de souligner que l'indépendance individuelle n'exclut pas la coopération avec les autres. Ensemble, nous pouvons atteindre beaucoup plus !",0
126,Cette vidéo m'a fait penser à un proverbe : 'On ne peut être heureux qu'en sachant ce que l'on veut et en voulant ce qu'on sait'. Je pense que cela s'applique aussi à l'indépendance.,0
127,"J'ai trouvé cette vidéo extrêmement intéressante, mais je suis un peu inquiet quant à l'idée d'une vie entièrement autonome. Que pensez-vous de la nécessité de garder des liens avec les autres pour rester sains et heureux ?",0
128,"Je partage certes votre point de vue sur l'importance de l'indépendance, mais je me demande si une vie entièrement autonome peut être considérée comme un bon modèle à suivre pour les autres. Avez-vous jamais pensé à cela ?",0
129,"Bien sûr, la vie d'une personne est un chemin unique et chaque individu doit trouver son propre équilibre entre l'indépendance et la coopération avec les autres. Je suis heureux de vous avoir entendus parler de cela, merci !",0
130,"Quel intérêt y a-t-il de rester attaché à une vie de consommation excessive lorsque nous avons tant d'outils et de connaissances pour vivre de manière plus simple et durable? Avez-vous réfléchi à cela, auteurs de cette vidéo?",1
131,"Cette vidéo est très intéressante, mais j'ai peur que certains points soient un peu idylliques. Combien de temps faut-il vraiment pour vivre complètement autonomement? Est-ce que cela est réaliste pour tous les citadins?",0
132,"Je suis d'accord avec certaines idées présentées dans cette vidéo, mais je ne pense pas que tout le monde puisse supporter une vie de survie dans la nature. Avez-vous pensé à ceux qui ont des conditions physiques ou mentales limitées?",0
133,"Je me sens un peu déçu par cette vidéo. Les solutions proposées semblent être plus destinées aux gens ayant une certaine richesse et disposant d'espace spacieux, plutôt qu'aux gens qui ont besoin de vraies solutions pour améliorer leur situation quotidienne.",1
134,"Cette vidéo a beaucoup de bons conseils sur la réduction des déchets et l'auto-suffisance, mais je pense que la solution principale est une politique de réduction des gaspollutions au niveau gouvernemental. Les gens ne devraient pas avoir à vivre comme des herbes folles pour protéger notre environnement.",0
135,Cette vidéo est géniale mais je pense que nous devrions également en parler de l'importance de la coopération et de l'aide mutuelle dans la société pour atteindre une véritable auto-suffisance.,0
136,Je suis d'accord avec ce qui est dit dans cette vidéo mais je pense qu'il serait important d'éviter d'être trop autocentrés et de considérer les impacts de notre auto-suffisance sur le monde entier.,0
137,Je suis sceptique quant à la possibilité de devenir totalement auto-suffisant dans un monde moderne. Je crois que nous devons plutôt mettre l'accent sur la réduction des consommations et la gestion durable des ressources.,0
138,Cette vidéo est très intéressante mais je pense qu'il serait important de souligner les limites de notre autonomie individuelle et de la lier à un cadre de solidarité et d'engagement citoyen.,0
139,"J'aime beaucoup cette vidéo, mais je pense que nous devons aussi parler des avantages sociaux et économiques de l'auto-suffisance pour encourager plus de gens à adopter ce mode de vie.",0
140,"En se basant sur vos propres ressources et compétences, vous pouvez devenir indépendant de la société et du gouvernement. Cela nous permettrait de vivre une vie plus saine et moins dépendante de l'industrie moderne.",0
141,Cette vidéo est très intéressante mais je suis un peu surpris que personne ne parle de la part de responsabilité qu'il faut prendre en auto-suffisance. Il est important de penser à d'autres comme à soi.,0
142,"Je suis en accord avec ce qui est dit dans cette vidéo, mais je pense que l'auto-suffisance ne peut pas être une solution pour tout le monde. Pour certains, il est difficile de vivre sans la société moderne.",0
143,J'aime ce point de vue sur l'importance d'être capable de prendre soi-même en charge dans certaines situations. Cela nous permettrait de réduire notre dépendance aux services gouvernementaux et à des entreprises.,0
144,"Cette vidéo est très bien, mais je pense que l'auto-suffisance ne peut pas être une solution pour tout le monde. Pour certains, il est difficile de vivre sans la société moderne et les services gouvernementaux qui nous aident.",0
145,"Encore une vidéo qui ne fait que confirmer mes préjugés sur les gens qui croient qu'ils peuvent survivre seuls dans le monde. Vous devez comprendre que nous sommes tous reliés, même si cela peut être difficile à voir pour certains.",0
146,"La vie est plus belle quand on s'aide les uns les autres. Si vous ne voyez pas l'importance de l'auto-suffisance, je vous conseille d'essayer d'être indépendant pendant un mois et de voir comment cela va.",0
147,"Je pense que cette vidéo a des points forts, mais elle manque de considérer les impacts sociaux et environnementaux de la vie auto-suffisante. C'est important d'avoir une vision plus large sur notre responsabilité envers la société.",0
148,"Je suis d'accord avec ce que vous dites, mais je pense qu'il faut trouver un équilibre entre l'auto-suffisance et le soutien mutuel. On ne peut pas tout faire seul, même si on a des capacités.",0
149,"Il est important de préparer pour l'avenir, mais nous devons également apprendre à vivre dans le présent. L'auto-suffisance est importante, mais ne doit pas être une excuse pour ne pas vivre pleinement aujourd'hui.",0
150,Encore une vidéo qui promeut la survie seule et l'individualisme au détriment de la communauté. On oublie trop souvent que l'humanité ne peut pas survivre sans travail collectif et soutien mutuel.,1
151,"Pas d'argent pour des idées? Heureusement que nous vivons dans un monde où il y a plus qu'une seule solution à tout problème, sinon cela aurait été une catastrophe!",1
