,Unnamed: 0,text,label,topic
506,522,C est faux tout simplement,1,nothing
126,130,Bravo Olivier il est super cool ..ton potager.!!!..,0,nothing
275,285,La vidéo que j' ai FAITE...en bon français;!!!,0,nothing
210,219,Bonjour et merci beaucoup David. Peux-tu redire comment agréer le sol ? J'ai bien cette plante qui est tenace effectivement. Pour la lactofermentation Ta saumure est-elle froide ou chaude ? Merci,0,nothing
546,564,super video merci c est vrai que l autonomie c est a plien temps la journée ne suffit pas mais c est valorisant et passionnant,0,nothing
7,8,Même voix que la chaîne documents rares et inédits 😁🙏😌,0,nothing
274,284,José ch'ti 62 bonjour belle vidéo très bien expliquée j'en ai appris beaucoup sur les vaches moi qui ne suis pas agriculteur mais je suis un campagnard et je soutiens l' agriculture et je la défends même,0,nothing
413,428,Nous elle ne sont pas prête de sortir les cache encore vous avait quoi Côme machine pour donner au vache,0,nothing
629,647,"Je ne cueille que les champignons que mon père cueillait, à savoir: les girolles, pleurotes, cèpes, champignons de pâture, morilles, pied de moutons. Pas beaucoup, mais c'est ce dont on trouvait le plus par chez moi. Le reste, je ne sais pas. Par contre, c'est vrai qu'il y a des espèces, punaise, c'est super bon, où plutôt ça a l'air bon, dommage que ça bousille les boyaux.",0,nothing
437,452,tartines sans beurre ???? c'est illégal,0,nothing
417,432,"Bonjour Stephane, je voudrai savoir la contenance des pots, un litre ?",0,nothing
38,41,"Intéressant, a voir si ça tient dans la Creuse a 700m ( pas sûre mais bon )",0,nothing
908,930,"ça serait bien de proposer simplement un modèle viable économiquement et écologiquement, plutôt qu'une idéologie de fin du monde, et éviter les phrases comme peut nous sauver, je ne sais pas qui a dit cette phrase ""Méfiez vous des gens qui veulent votre bien"".",1,nothing
277,287,"Au Top. Est-ce que tu stérilises les bocaux après ça ou est-ce que ça suffit pour les conserver jusqu'à la fin de l'hiver par exemple ? Sinon, man, tu as grave la confiance : T-shirt blanc et pantalon blanc impeccables ... et jus de cerise à hauteur de tâche ... OKLM tu gères :-D",0,nothing
1213,1240,Choucroute ! 😁,0,nothing
1025,1047,Félicitations à tous les participants... ça donne envie ainsi que des idées 💡 comme quoi on peut faire beaucoup en partant de rien. Juste un peu d'huile de coude et de patience #lepotagerdepixies,0,nothing
1056,1078,"Bonjour, très bonne présentation et d’une simplicité abordable pour les débutants, Est-ce qu’il faudra greffer certaine variété ? Si oui pouvez-vous donner des exemples ? Bien cordialement TravauxGoldMan",0,nothing
1104,1128,Bonjour Pourriez vous me dire quand puis je mettre en godet les mini mottes de salade que j ai obtenues en alveoles Cordialement M c Huc,0,nothing
584,602,Pour ceux qui se poseraient la question.. il est parfaitement possible de remplacer le mastic par de l'argile et l'élastique par du raphia ou autre lien végétal.. en fait il faut être créatif et surtout oser expérimenter ! Les anciens réalisaient cela avec une opinel et un peu de terre. 😘,0,nothing
1208,1235,Très grand metier !Malheureusement en ce moment les médias ne parlent pas de ses gens qui nourrisse le pays ! Respect à eux ! (Je ne suis pas du milieu agricole ),0,nothing
270,280,Merci pour cette vidéo. Courage et bonne chance à lui. Que le temps et son investissement lui apportent la stabilité et les enseignements dont il aura besoin pour la pérennité de son entreprise.,0,nothing
360,373,"Bravo ! Et oui, la porte automatique, même chez soi, c'est un vrai confort...je n'ai pas encore investi mais je pense que ça viendra. Quand les finances le permettront !",0,nothing
762,782,Elle est modifier génétiquement,0,nothing
1194,1221,"Important de rappeler que Benoît à des terres a 30%dargile c'est déjà a la base un sol de "" riche"" . Le stockage de la mo n'aurait jamais été aussi efficace avec un sol a 10%. Je peux en témoigner 😊",0,P6
1195,1222,"Salut Antoine, pour aller au fond de la question, je te (vous) conseil la lecture d'un excellent ouvrage, 'Qui veut la peau des vaches ' de Claude Aubert, aux éditions Terre Vivante. Et il ne faut pas confondre magistrat de la cour des comptes et écologistes.",1,nothing
318,329,Slt sa a bien rendu,0,nothing
1114,1138,"La présence de l'eau sous forme de mares est aussi un atout pour la régulation de la température et le paysage naturel nourricier... Merci pour ces éclaircissements en période de confusion extrême. J'avais vraiment été impressionnée par le trogne, qui finissait par accueillir un ""jardin"" entre ses rejets de taille... Je pense aussi aux cynorhodons, noisetiers, aubépine, pruneliers... et le saule et l'osier pour nos paniers !",0,P3
595,613,Ta des geste bizar avec la butternut 😅😂,0,nothing
867,888,C'est quelle variété svp?,0,nothing
257,267,Malheureusement ces pas dans le plans de ce gros en...c..ler de macron,0,nothing
773,793,"Bonjour Olivier, bonjour à toutes et tous.Je voulais savoir pourquoi mettre en pleine terre 1 glomérule tous les 5cm si à l'éclaircissement on ne laisse qu'un plant tous les 15 à 20cm,ne serait il pas plus judicieux de les semer directement à 15-20cm du coup ? Merci pour les partages toujours aussi intéressants et bon jardinage à tous 👍🏻",0,nothing
669,687,"Bjr des Landes. Il y a bien longtemps que je n'ai pas mis de commentaires, non que je ne regarde plus les vidéos. Je n'ai simplement rien de judicieux à dire. Aujourd'hui j'ai juste envie de souligner les progrès que tu as fait par rapport à tes débuts. Logique mais pas toujours vrai. Pensais-tu écrire des livres à ce moment-là ? J'aimerais si possible que tu nous parles de Terra Nova. Avez-vous toujours ce deuxième terrain ? Les abeilles ? Et toujours le même plaisir à t'écouter tant ton vocabulaire est plaisant. Bonne continuation. Bisous.",0,nothing
75,79,"Damien a inspiré beaucoup de personnes. Toutes les vidéos sont a regarder pour les néo-ruraux, néo-jardiniers, Damien diffuse des vidéos depuis au moins 8 ans . Il ne surfe pas sur la vague des tuto -influenceurs -vendeurs . Grand respect Monsieur",0,nothing
1290,1318,Si on bouture un porte greffe greffé ça donne quoi? Au niveau génétique,0,nothing
560,578,Magnifique tracteur avec une magnifique chaîne mais dommage que les sièges soit sale 😉,0,nothing
436,451,Merci Stéphane ! Un cours qui devrait être donné dans toutes les écoles 😊 As tu commencé les semis d'asiminier américains? Impatient de t'en commender,0,nothing
565,583,👍👍👍👍👍👍👍👍👍👍👍👍👍👍,0,nothing
398,413,Bonjour Antoine .. si tu as la superficie en roulement .. pour ton ensilage maïs .. sème les derrières ton ensilage ray-gras après récolte et un petit labour et fumier .. ils souffriront moins de la sécheresse et une semence adaptée..,0,P3
991,1013,SOMEWHERE IN AFRICA PART 2 https://youtu.be/CmGPyUzmyPg,0,nothing
365,378,"Super intéressant, et merci au studio Danielle pour m’avoir fait découvrir cette super chaîne",0,nothing
1127,1152,"Je partage ici mais technique pour des semis précoce. Je place des tonneau de 300l d'eau de pluie (plastic noir alimentaire, a récupérer) A chaque bout de ma bande de 6m sous serre, une couche chaude au fumier entre piquet et planche bois puis une étagère le tout couvert d'une bâche. Les 600l d'eau assure l'inertie thermique et c'est même utile pour faire tampon en cas de gros soleil",0,P3
843,864,"je vais joindre Stéphane pour des conseils, il est très pragmatique, merci à vous deux pour tous ces précieux renseignements",0,nothing
885,907,Tu as l'air fatigué ! Fais attention à toi et à ta santé.,0,nothing
391,404,ق,0,nothing
910,932,Mille mercis pour cette générosité d être...j avais exactement besoin de ça aujourd'hui pour me redonner confiance en mes rêves Le monde a tant besoin de ce modèle pour s en sortir et exister comme il se doit avec la nature ❤,0,nothing
147,151,"En tant que jeune chasseur (24 ans) je peux vous assurez une chose. C'est que si une personne tire sur un chevreuil ou un sanglier avec de la grenaille de 3-4 mm, ils sont : 1 non seulement stupide parceque de la grenaille de 3-4 mm peut importe la distance ne TUERAS JAMAIS un sanglier, peut être un chevreuil(un cerf/biche aussi) mais à TRES COURTE distance (2-7m) et uniquement avec une cartouche placer chirurgicalement entre les deux yeux ou en plein dans le buste au niveau du cœur(et même dans ce cas je pense que la pauvre bête doit terriblement agoniser). 2 Ils sont totalement dans l'illégalité car chaque gibier chassé dispose d'une réglementation spécifique dont une en particulier présente ici qui est la réglementation sur le type de munition utiliser, dans se cas de la grenaille de 3-4 mm est forcément une munition utiliser pour la chasse au petit gibier volatile c'est à dire soit une cartouche avec une granulométrie de 8, 9, 10 ou plus. si c'est soit disant chasseur était réellement en train de faire une battue au chevreuil ou au sanglier il aurait dû utiliser sur un calibre 12 une cartouche avec une granulométrie comprise entre 1 et 3 pour le chevreuil (a peut prêt 1cm de diamètre) à une distance maximale de 20-30 m de tir. le sanglier doit etre abatue avec une munition appeler ""Bruneck"" (une balle dans une cartouche) ou avec un fusil à balle PS: La chasse régules ""en partie"" la propagation des maladies chez l'être humain et l'animal domestique ou preserve l'espece animal ex: une société de chasse Cognassaise avez un chevreuil albinos ils voulaient le garder comme ""emblème"" de leurs société c'est les gardes de chasse qui ont forcer l'abattage car risque de propagation du gênes",0,nothing
1012,1034,Très intéressant ! C'est lequel le meilleur pollen ? Le plus rustique ? Parmis ces variétés... Merci,0,nothing
829,850,"Très intéressant. Je vais dire une bêtise mais bon. Est il envisageable de ramener de l'argile, en avez-vous à proximité ?",0,P6
473,488,"Personne super intéressante et attachante, merci pour le partage",0,nothing
1177,1203,Faut faire un Loto ! Une pareil chance ça se cultive 😂😂😂,0,nothing
469,484,"Toutes ces normes et obligations kafkaïennes soi-disant vertueuses pour protéger l’environnement et les consommateurs mais qui en fait privilégie l’agro-industrie… bien dégueulasse. (Bahh. Je suis naïf). En tout cas, merci pour ce reportage essentiel. Et bonne continuation à tous.",0,nothing
259,269,57:30 didier de la porte,0,nothing
631,649,Bernard a l'air d'être un gars super mais c'est triste de voir l'état de ses dents... J'espère qu'il n'en souffre pas trop...,0,nothing
692,710,"Merci M. Bourdarias, architecte du vivant ne trouve pas de meilleur place que dans votre bouche. Vous êtes d'une grande aide, ainsi que vdtp bien sure🙏",0,nothing
492,507,Vidéo intéressante mais trop longue. Toutes ce qui est proposé est de bon sens sauf se doucher avec le pulvérisateur des produits chimiques du jardin.. Rembourser le crédit je ne pense pas que ça soit intéressant au contraire il faut investir dans l'outillage les moyens de production car rien ne peut arrêter l'inflation dans le moyen terme. C'est la fin de l'énergie gratuite mais il faut miser sur le solaire. Oran Algérie,1,nothing
690,708,"Le titre n’a pas besoin de plus , l’agriculture anti réchauffement climatique, une grande démesure… 🤣",1,nothing
683,701,"Sympa cette vidéo chez Mickaël , il en faut pour démarrer , surtout les aromatiques . Son courage est méritant , car il est seul pour établir sont bizness , courage pour la suite C est en forgeant qu on devient forgeron , tout viens à point à qui sait attendre",0,nothing
779,799,"J'ai bien l'impression que la tuta se transmet via les plants achetés... sans vouloir jeté la pierre à Clair de Lune mais j'étais stage en nord 44 et pareil, ils achètent des plants et sont impactés par la tuta...",0,P2
826,847,Faite une vidéo de 1h dessus avec itk d installation et reglage capteur et durée lumineuse. Vraiment intéressant juste une vidéo plus pousser pro si vous pouvez. Merci d avance,0,nothing
276,286,"J ai essayé cette année grace a tes vidéos et ça a vraiment bien donné,quel plaisir 😁 je suis dans l ouest de la France a côté de La Rochelle. Merci pour cette découverte",0,nothing
758,777,Le potager commence à doucement se dessiner. Attention à bien tenir compte de vos contextes. Retrouvez les graines à semer sur www.labonnegraine.com Code promo de 10% ► LBGPO1C À très vite,0,nothing
754,773,Bravo Maud... Je fais de même quand je sors en jardinerie... Faut que j évite...,0,nothing
154,160,🙏🍈💚🌱🫶🫑🥝🥒🍋 🐨🦦🦔,0,nothing
1358,1387,J'ai jamais vue une présentation de chaine Vidéo Youtube aussi propre ! Je m'abonne directement et hâte de voir les anciennes vidéos et les prochaines !,0,nothing
896,918,Je passerais bien à l'apéro,0,nothing
900,922,Bonjour vous dite produire 120 poulets par an sa fait 10 poulets par mois soit un poulet tous les 3 jours pour 2 personnes ou si on ramène sa au cote financier 120 poulets à 15 euro soit 1800 euro moins les 400 =1400 sa fait des sacrés économies plus les œufs Va falloir se mettre dans la tête que le budgets alimentaires va reprendre ce qu on lui a pris depuis 50 ans et arrêter de sacrifier les agriculteurs pour acheter des portables et compagnie…,1,nothing
52,56,Merci 🙂,0,nothing
517,533,Bravo Hugues ! Vous êtes passionnant ! Un vrai bonheur de vous écouter et de vous voir parmi vos chèvres ! Plein de belles choses à vous et votre ferme :),0,nothing
1263,1291,"Salut, je découvre ta chaîne YouTube je suis agréablement surpris de ne l’avoir connus avant ! Je vien regarder la plutard de tes vidéo et honnêtement tu est très intéressant un éleveur fier de sont métiers et le montrer en restant transparent avec l’es galère du monde agricole aujourd’hui ben honnêtement bravo +1 abonner! Continue à montrer ton quotient !! Agri coco Vidéo !",0,nothing
145,149,Slt superbe vidéo est se que tu pourrais faire 1 vidéo toute les deux semaines stp,0,nothing
1089,1113,"J'adore tes vidéos, ça faisait un moment... passe de bonnes fêtes. Et comment ce passe les vélages ?",0,nothing
615,633,plutôt sympa comme montage tu as raison la saison d'ensilage c'est la meilleure des saisons!,0,nothing
581,599,Super la vidéo ! Mais oui j' aimerais tout savoir sur ces pizzas de rêve. 😋🍅😊🌼,0,nothing
212,221,"Bonjour, je voulais vous poser une question par rapport à la plantation du figuier proche d'une terrasse ou maison car mon voisin me la fortement déconseillé en me disant que les racines pousser le ciment et casser la terrasse voir le mur de la maison... ? Donc, du coup si c'est le cas à combien de mettre doit on éloigné la plantation ? merci beaucoup pour tout :)",0,nothing
992,1014,"Bonjour, faites de l'agroécologie mais laissez le Giec dans son carton .... c'est un truc de propagande !",1,nothing
1307,1335,"Bravo , c'est un beau cadeau de la nature !!!",0,nothing
930,952,"Bonjour Maud ,merci pour ta video ,moi j'ai fait des semis de navets ,choux ,épinards salades et j'ai refais du persil c pas gagné avec la chaleur 😁 mais j'ai repiquer des choux et salades acheter en jardinerie j espérais qu il fasse moins chaud pour semer mais c rater donc j'ai pris un peu d'avance .A bientôt",0,nothing
933,955,Effets hallucinogènes du thc...😂 Un fermier ne connaissant pas le sujet!!! A quand l'aubergine hallucinogène!!!😂,0,nothing
924,946,Ça me fait trop plaisir de voir cette vidéo!!! depuis l'expérience menée il y a plusieurs années de cela (sur 20 ans je crois!?) et retracer dans la chaîne Youtube maraîchage sol vivant ou ver de terre de production je ne sais plus je voulais le faire sans en avoir trop le courage. Merci de la démonstration!!!,0,nothing
97,101,Trop loin....😢,0,nothing
960,982,"Ce sont des erreurs selon vous, pour votre type de vie, cela ne s'adapte pas à tout le monde. L'autonomie est différente pour chaque personne car les besoins sont différents, les gens qui ont besoin de peu ne sont pas minimalistes. Je suis d'accord sur deux points, la plantation des fruitiers et le point sur la permaculture. Vous étiez dans le partage, c'est la raison pour laquelle je vous regardais. Aujourd'hui, vous devenez donneur de leçon, comme certains de vos collègues, des live pour transmettre une science que vous ne maîtrisez pas, alors que c'est souvent une vision applicable à votre vie uniquement.",1,nothing
252,262,"Salut Olivier, est ce que tu vas refaire des chayottes cette année ?",0,nothing
1008,1030,"Bonjour, tout d'abords merci pour cette belle vidéo, je voudrais savoir si vous envoyer en Belgique ? Nous aimons les chataignes naturellement sucré et facilement pelable, quel variété vous conseillé, merci",0,nothing
26,29,"L'autonomie c'est avant tout des compétences, c'est pour ca que c'est long a acquérir...",0,nothing
996,1018,"Une question : combien de temps (approximativement) après cette mise en bouteille voit-on apparaître des feuilles ? PS. Je viens de rater les miennes avec cette technique mais je pense comprendre mon erreur (idiote, j'ai mis du sable de plage, donc salé, sur le coup ça ne m'a même pas effleuré l'esprit). Donc vidéo qui tombe à pic (comme souvent).",0,nothing
583,601,Tu peut pas sortir les 9kw en électricité,1,nothing
121,125,"Bonjour Messieurs, Merci pour votre courage et votre travail ! Que la critique se fasse, mais les jugements et bla blateurs troll, passez votre chemin ou faites leur travail et on verra alors ! Merci encore Messieurs !!",0,nothing
850,871,"Bonjour Maud, nous reflechissons a l'achat d'une porte automatique pour cet automne car effectivement, c'est très pratique. Ce nouveau modèle a l'air très bien. D'une manière générale, je n'ai jamais été déçue par les modèles que tu nous présentes, je pense en particulier a la mangeoire anti rongeurs... Et qu'en est il de ton propre potager ?",0,P2
10,11,"Bonsoir Olivier merci pour cette vidéo et ces conseils pour le repiquage des salades en godets et autres semis et sur l'autre vidéo aussi pour les semis de petits pois et les mange tout ,le temps chez nous n'ai pas top un jour beau un jour pluie pour mon jardin remise en état dès que le temps le permet puis commencer certaines semis dans ma véranda et je pense que pour courant mars je commencerai à mettre en place au jardin , je dis à bientôt .Amicalement René",0,nothing
458,473,Bonjour Damien Ou est-ce que je peux trouver des graines de poivre de sichuan? Je vous souhaite une belle soirée,0,nothing
150,155,EXELENT,0,nothing
1356,1385,Pour info je me fait deux burgers surgelé avec des pattes et de la creme liquide .Apres je part a la chasse au champignon dans la foret ...J'espere ne pas tomber sur des chasseurs de binouzes...Sinon secis est mon dernier poste et mon cadavre se trouve pas tres loin de ma maison....Merci de me composter dans la poubelle jaune...,0,nothing
866,887,Bonjour merci pour ces informations! Nous allons mettre en place ces abris dans notre école :),0,nothing
1279,1307,Plus qu'à faire creuse des marre pour stocker de l'eau 😉,0,P3
675,693,"Votre livre tombe à pic, justement je voulais offrir un couple de canards coureurs à mon fils et ma belle fille, histoire de résoudre leur problème de gastéropodes car chez eux, impossible de faire un pas sans en écraser. Je n'ai jamais vu ça :( Merci pour toutes vos vidéos que je suis assidument depuis des années...",0,P2
543,561,Vraiment bien c'est bien dis en vrai bonne parodie!,0,nothing
1034,1056,"Merci TELLEMENT Olivier pour cette vidéo qui déculpabilise et fait un bien fou. C'est vraiment important de montrer aussi qu'on est tou.te.s perfectibles et qu'il y a des ratés chez tout le monde, même nos mentors :)",0,nothing
389,402,"Retrouvez toutes nos formations maraichage (finançable VIVEA et/ou CPF) : https://formation.verdeterreprod.fr/pages/filiere-maraichage Plus de ressources sur la page Triple Performance dédié aux tomates sous couvert végétal : https://wiki.tripleperformance.fr/wiki/Tomates_sous_couvert_v%C3%A9g%C3%A9tal_en_MSV_:_r%C3%A9sultats_d%27essais_aux_Serres_de_Marcel_(27),_Francois_Mulet",0,nothing
623,641,"Rien qu'essayer d'avoir cette mentalité, tous les jours, c'est difficile (pour moi en tous cas). Donc merci pour ce ""peptalk"", ça aide!",0,nothing
460,475,"Bonjour Olivier, dans ta vidéo tu fais des semis précoces de betteraves, je me demandais si ce n'est pas un peu trop quand même la période de semis étant avril normalement. Est ce qu'il y a un risque pour ces semis ou je peux faire comme toi et les faire prochainement ? Merci beaucoup pour tes vidéos toujours très inspirantes!",0,nothing
1066,1088,J'en suis à plus de 3500 euros d'essence par an. C'est une véritable honte. Merci à cette saloperie de ripoublique qui se gave sans contrepartie. On est juste des vaches à lait,0,nothing
1147,1172,"Magnifique vidéo, dommage il manque les gammes plagron, biobizz ect (en light pour les semis) votre tests aurait été encore plus qualitatif :)",0,nothing
914,936,Salut Antoine Belle vidéo beau travail les génisses vont êtres contentes 😉,0,nothing
737,755,ils veulent notre mort tout simplement !!,0,nothing
1250,1277,Bonjour merci pour tout ce que vous voulez propager. Mais je voudrai juste demander a Noël comment traiter des poutres sans xylophene . Par quoi le remplacer. Merci beaucoup. Bonne continuation. ❤,0,nothing
905,927,Semer et repiquer les chicorées d hiver...semer la mâche...,0,nothing
267,277,"J'avais acheté des graines de concombre F1 chères, qui ne devenaient pas amers quand s'il fait sec et autofertiles pour un bon rendement. Je me suis mélangée les pinceaux en confondant les plantules de concombre et de courgettes. Du coup je n'avais qu'un seul plant de concombre à la fin. Il m'a donné plein de tout petits cornichons 😠",0,nothing
994,1016,Bravo et merci,0,nothing
1273,1301,Sa sent la merde en faite les gars....,0,nothing
710,728,"le vidéo projo n'est pas visible... snif... Ouais beaucoup de bla bla pour pas grand chose... pas de solutions présentées.... faut relativiser, y nous balance bien plein de polluants par avion avec les chemtrails.... et personne ne dit rien...",1,nothing
1088,1112,Au top ! Merci pour cette vidéo si utile et si bien faite! Comme d'hab 😅,0,nothing
87,91,"C'est parti depuis plusieurs semaines chez moi. Merci pour tes conseils ! Chez moi, les petits pois sont semés dans des godets un peu plus grands, et les carottes en pleine terre (sous chassis), mais je suis intéressé par d'autres façons de faire, et le résultat que ça donne !",0,nothing
1275,1303,Est-il possible de tailler les raisins sous la pluie ?,0,nothing
915,937,🖐️ belle présentation par contre .la Gazinière 😮 une cuisinière à bois ou four en terre 👍et les ustensiles électriques non 🤔 il a tellement d'ustensiles manuel.sinon bravo pour la vidéo,0,nothing
1244,1271,"Bonjour , Explications tres claires .merci . Par contre , comment tailler un arbre fruitier ,de plusieurs années et qui n’a jamais été taillé ? Merci beaucoup Sylvie 🌼",0,nothing
1271,1299,tu peux aussi enrubanné de nuit ?? c'est pas trop humide ? belle vidéo,0,nothing
345,356,J'adore toujours autant tes video 😁 et tu peut l'ouvrir à partir de combien de jour? Ca ne dérange pas que le mais fermante 2 fois?,0,nothing
699,717,"Bonjour Merci pour cette excellente vidéo, clair, net et précise ! A quand plein d'ITK comme ça sur MSV TV ??? Ici en centre Alsace : belle récolte de melons, en extérieur Melon Canaris : top! , oui le Ogen est excellent ! Par contre a quand un ITK pastèque ? plus facile à cultiver que le melon, pas troué par les campagnols qui vont manger les graines, moins de problème de pourrissement sur le sol ... Vive la pastèque Early Moon Beam ! a chair jaune ! Top !",0,P6
739,757,Plein de mamans allaitantes sans bébés ...,0,nothing
774,794,Bien vu Stéphane. Très bonne idée. Amitiés.,0,nothing
205,214,👍Super bien détaillé un enrichissement pour nous.,0,nothing
1215,1242,"Yo j'ai mis un petit pouce pour le temps passé a faire tes vidéos et bien-sûr pour le contenu. Mais ayant déjà ma propre forme d autonomie, pas forcément avec le même concept, je trouve tes choix hyper intéressant. Le fait de le partager sans juger c'est super 👍. Bref a chacun sa propre autonomie et progression mais si on veut vivre mieux plus en phase avec l homme et la nature. Il faut s y mettre et surtout rien attendre de l état providence...",0,nothing
1350,1379,"“La VEGETATION PILOTE le CLIMAT “ en faisant des études de cas … Très certainement, un barrage face à la sécheresse ( 27 degrés au mois de février 2024 ?!) et à la désertification qui avance. Merci infiniment pour ce travail scientifique. 🌍🤩🤩🤩🕊🕊🕊🕊🕊🕊🕊🕊🕊👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏",0,P3
1167,1193,"salut Skyppi régulièrement , ça veut dire quoi? une fois par an? résultat des courses tu as fait une affaire par rapport à avant?",0,nothing
100,104,Magnifique moment !!,0,nothing
1165,1191,Ou vigne chocolat !,0,nothing
184,192,"Bonjour Damien, mais que fais tu de tes abondantes récoltes ? Tu nourris ton village ? Ton terrain est devenue un arche de Noé, pardons un arche de Damien pour la biodiversité. Pour la production de biomasse des petits jardins, disons 50 à 100m², la syntropie apporte des solutions. Bien entendu tu n'as pas grand chose à apprendre de la syntropie. J'imagine que tu finiras par avoir un jour dans ta riche bibliothèque, le livre ""Bienvenue en Syntropie"" D'Anaëlle Thery. Bonne continuation dans ton coin de paradis.",0,P6
134,138,Bonjour comment vas tu bonne année superbe vidéo,0,nothing
478,493,aucun essai de tomate sur physalis ?,0,nothing
186,194,"vous êtes une personne très sympathique, j'apprécies vos vidéos. On devrais tous vivre de cette manière, mais dans notre monde ou plus rien ne vas, c'est compliquer. Si on étais en communion avec notre Dieu créateur, cela irait bien mieux. Seul Jésus qui est mort sur la croix peut nous donner un sens a notre vie, et nous donner la vie éternelle, simplement en croyant qu'il est mort sur la croix pour nous racheter de nos péchés nos mauvaises actions, il suffit de croire en lui et de lui demander pardon pour nos mauvaises action. Lisez la Bible, et vous verrez. Je vous souhaite tou du bon.",0,nothing
948,970,"Merci pour ces belles images :) Pousses-en jusqu'au Loir-et-Cher je t'en prends volontiers ( de la neige!) Pleinssss de réussites pour cette nouvelle année, bye !",0,nothing
85,89,Jolie les petites jersiaises 😏,0,nothing
341,352,"Bonjour Stephane et merci pour cette vidéo très complète. Merci pour le temps conséquent que vous avez du passer pour la création de ce reportage et merci pour votre partage. Je n'ai pas encore assez de place sur mon terrain pour ce magnifique arbre, mais promis je passerais commande chez vous dés que ce sera le cas. Ce format de reportage en moins de 10 minutes est une vraie mine d'information. Merci beaucoup👍",0,nothing
